,Date,Country,Dead,Source,More_Info
5672,Reported 30-Jan-1893,NEW ZEALAND,Y,"Taranaki Herald, 1/30/1893",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.01.30.R-McKenzie.pdf
5673,Reported 18-Jan-1893,FRENCH POLYNESIA,Y,"West Australian, 1/18/1893",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.01.18.R-RodrigueBrothersVictims.pdf
5674,1893,EGYPT,UNKNOWN,"Briefly mentioned in paper by W.B. Orme; G.A. Llano, p.127",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.00.00-PortSaid.pdf
5675,15-Dec-1892,ATLANTIC OCEAN,Y,"Washington Post, 1/9/1893",http://sharkattackfile.net/spreadsheets/pdf_directory/1892.12.15-SamuelCoolidge.pdf
5676,Reported 09-Nov-1892,AUSTRALIA,N,"Timaru Herald, 11/8/1892",http://sharkattackfile.net/spreadsheets/pdf_directory/1892.11.09.R-NorfolkIsland.pdf
5677,06-Nov-1892,AUSTRALIA,N,"Brisbane Courier, 11/9/1892",http://sharkattackfile.net/spreadsheets/pdf_directory/1892.11.06-Coe.pdf
5678,Reported 16-Sep-1892,USA,N,"Galveston Daily News, 9/16/1892 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1892.09.16.R-Baker.pdf
5680,Reported 20-Jun-1892,CUBA,Y,"Daily Citizen, 6/20/1892",http://sharkattackfile.net/spreadsheets/pdf_directory/1892.06.20.R-Rider.pdf
5681,Reported 19-May-1892,NEW ZEALAND,N,"Wanganui Chronicle, 5/19/1892",http://sharkattackfile.net/spreadsheets/pdf_directory/1892.05.19.R-Yates.pdf
5682,Reported 21-Apr-1892,BAHAMAS,Y,"The Gleaner (Jamaica), 4/21/1892",http://sharkattackfile.net/spreadsheets/pdf_directory/1892.04.21.R-Bahamas.pdf
5683,Reported 25-Mar-1892,PACIFIC OCEAN,Y,"West Australian, 3/25/1892",http://sharkattackfile.net/spreadsheets/pdf_directory/1892.03.25.R-Canoe.pdf
5684,02-Mar-1892,AUSTRALIA,N,"The Argus, 3/4/1892",http://sharkattackfile.net/spreadsheets/pdf_directory/1892.03.02-Wang.pdf
5685,1892,AUSTRALIA,Y,"G.P. Whitley, p.259",http://sharkattackfile.net/spreadsheets/pdf_directory/1892.00.00-Rotaman.pdf
5686,Reported 31-Dec-1891,AUSTRALIA,N,"Maitland Mercury & Hunter River General Advertiser, 12/31/1891 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1891.12.31.R-Christesen.pdf
5687,Reported 22-Dec-1891,NEW ZEALAND,N,"The Advertiser, 1/1/1892",http://sharkattackfile.net/spreadsheets/pdf_directory/1891.12.22.R-Jacobson.pdf
5688,29-Nov-1891,MARTINIQUE,N,"Philadelphia Inquirer, 12/19/1891",http://sharkattackfile.net/spreadsheets/pdf_directory/1891.11.29-Johnston.pdf
5689,Reported 14-Sep-1891,KIRIBATI,Y,"Newark Daily Advocate, 9/14/1891; Bismark Daily Tribune, 9/15/1891",http://sharkattackfile.net/spreadsheets/pdf_directory/1891.09.14.R-Kiribati.pdf
5690,Reported 30-Aug-1891,CANADA,Y,"Washington Post, 8/31/1891",http://sharkattackfile.net/spreadsheets/pdf_directory/1891.08.30.R-Roult.pdf
5691,29-Aug-1891,USA,N,"The Daily Argus News, 9/3/1891 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1891.08.29-Mary-Brown-crew.pdf
5693,10-Mar-1891,PARAGUAY,Y,"West Australian, 11/2/1891",http://sharkattackfile.net/spreadsheets/pdf_directory/1891.03.10-Paraguay.pdf
